QuickDAQ Data
1/1/0001 12:00:00 AM
Notes:		
Sample Rate:	200	 Hz	
Measurement Type	Time Waveform	Time Waveform	Time Waveform	
Channel Name	DT9857E-16(00).Ain 1	DT9857E-16(00).Ain 2	DT9857E-16(00).Ain 3	
X Axis Units	Sec	Sec	Sec	
Y Axis Units	g	g	g	
Seconds	Real	Real	Real	
 0.00000E+000	 0.0010848045	 0.0017976761	 0.0018131733	
 0.0050000000	 5.79357E-004	 0.0016224384	 9.60827E-004	
 0.0100000000	 3.11136E-004	 0.0016152859	 0.0011050701	
 0.0150000000	 8.48770E-004	 0.0019896030	 0.0017035007	
 0.0200000000	 6.96182E-004	 0.0017488003	 0.0014150143	
 0.0250000000	 7.65324E-004	 0.0015544891	 0.0014507771	
 0.0300000000	 6.18696E-004	 0.0018906593	 0.0015091896	
 0.0350000000	 7.56979E-004	 0.0021815300	 0.0012564659	
 0.0400000000	 7.93934E-004	 0.0018024445	 0.0014865398	
 0.0450000000	 0.0010037422	 0.0015306473	 0.0016200542	
 0.0500000000	 7.76052E-004	 0.0017142296	 0.0013637543	
 0.0550000000	 6.92606E-004	 0.0022244453	 0.0013685226	
 0.0600000000	 9.28640E-004	 0.0017261505	 0.0012469292	
 0.0650000000	 8.59499E-004	 0.0018823147	 0.0018584728	
 0.0700000000	 9.66787E-004	 0.0018966198	 0.0014793873	
 0.0750000000	 3.37362E-004	 0.0018107891	 0.0012183189	
 0.0800000000	 4.81606E-004	 0.0017631054	 0.0012207031	
 0.0850000000	 9.34601E-004	 0.0017488003	 0.0016677380	
 0.0900000000	 5.12600E-004	 0.0014364719	 0.0014734268	
 0.0950000000	 8.22544E-004	 0.0017797947	 0.0010383129	
 0.1000000000	 5.32866E-004	 0.0018119812	 0.0013530254	
 0.1050000000	 8.94070E-004	 0.0018048286	 0.0015068054	
 0.1100000000	 7.98702E-004	 0.0015425682	 0.0014340878	
 0.1150000000	 7.40290E-004	 0.0019311905	 0.0017774105	
 0.1200000000	 7.42674E-004	 0.0018835068	 0.0013673306	
 0.1250000000	 4.02927E-004	 0.0019109249	 0.0011360645	
